Nomenclatura 	Classe	Grupo	Fórmula Química	Também conhecido por:	Variedades	Clivagem	Dureza	Fratura	Densidade	Tenacidade	Diafaneidade (transparência)	Traço	Brilho	Cor 	Hábito (é a forma ou conjunto de formas que um mineral pode assumir, aparência do mineral.)	Onde esse mineral está no cotidiano?	Outras informações relevantes (Solubilidade, Deliquescência, Radioatividade, Sabor, Cheiro, Magnetismo)	Classe Cristalina (Classificação do formato do cristal)	Curiosidades 
Fluorita Roxa	Halogenetos  	Fluoretos  	CaF₂	-		Clivagem perfeita {111} (octaédrica); normalmente a clivagem aparece em seções delgadas como duas linhas oblíquas a 70º-110º, ocasionalmente como interseção de três linhas a 60º-120º.	4	Irregular, subconchoidal	3,17g/cm³-3,56g/cm³	Quebradiço	Transparente, Translúcido	Branco	Fosco, vítreo	Laranja, Vermelho, Azul, Verde, Marrom, Branco, Amarelo, Roxo, Incolor, Preto, Rosa, Púrpura, Preto azulado	Granular, maciço. Nodular, botroidal, raramente colunar ou fibroso. Também ocorre como agregados granulares e corpos maciços. Normalmente ocorre como cristais ou massas susceptíveis de clivagem. Os cristais são cúbicos, octaédricos, raramente dodecaédricos. Outras formas são menos comuns, mas têm sido observadas todas as formas da classe hexaoctaédrica (tetrahexaedro, hexaoctaedro, trapezoedro). Possui geminação comum sobre {111}, usualmente com dois cristais interpenetrados.	Componente fundente usado em alguns tipos de vidros especiais (eg.fibras e vidros ópticos) e esmaltes cerâmicos para louças. Confere resistência e produz um brilho esbranquiçado característico (opalescente/leitoso).	Geralmente apresenta fluorescência sob luz ultravioleta.	Hexaoctaédrica 	A fluorita dá o nome ao fenômeno de fluorescência, uma vez que muitas amostras fluorescem fortemente sob luz ultravioleta.
Fluorita variação roxa	Halogenetos	Fluoretos	CaF₂	Fluorita, fluorita roxa		Clivagem perfeita {111} (octaédrica); normalmente a clivagem aparece em seções delgadas como duas linhas oblíquas a 70º-110º, ocasionalmente como interseção de três linhas a 60º-120º.	4	Irregular, subconchoidal	3,17g/cm³   3,56g/cm³	Quebradiço	Transparente, Translúcido	Branco	Fosco, vítreo	Laranja, Vermelho, Azul, Verde, Marrom, Branco, Amarelo, Roxo, Incolor, Preto, Rosa, Púrpura, Preto azulado	Cubos, octaedros, formas combinadas, nodular, botrioidal, maciça, granular, raramente colunar ou fibrosa.		Geralmente apresenta fluorescência sob luz ultravioleta.	Hexaoctaédrica 	A fluorita dá o nome ao fenômeno de fluorescência, uma vez que muitas amostras fluorescem fortemente sob luz ultravioleta.
Fluorita variação verde	Halogenetos	Fluoretos	CaF₂	Fluorita, fluorita verde		Clivagem perfeita {111} (octaédrica); normalmente a clivagem aparece em seções delgadas como duas linhas oblíquas a 70º-110º, ocasionalmente como interseção de três linhas a 60º-120º.	4	Irregular, subconchoidal	3,17g/cm³   3,56g/cm³	Quebradiço	Transparente, Translúcido	Branco	Fosco, vítreo	Laranja, Vermelho, Azul, Verde, Marrom, Branco, Amarelo, Roxo, Incolor, Preto, Rosa, Púrpura, Preto azulado	Cubos, octaedros, formas combinadas, nodular, botrioidal, maciça, granular, raramente colunar ou fibrosa.		Geralmente apresenta fluorescência sob luz ultravioleta.	Hexaoctaédrica	A fluorita dá o nome ao fenômeno de fluorescência, uma vez que muitas amostras fluorescem fortemente sob luz ultravioleta.
Gipsita variação selenita	Sulfatos	Sulfatos básicos e hidratados	CaSO₄·2H₂O	Gipsita; Seleninita; Sulfato de cálcio hidratado		Clivagem perfeita em uma direção	2 - 2.5	Fibrosa	2,2g/cm³      2,3g/cm³	É ligeiramente flexível, embora quebre se dobrado significativamente.	Transparente a translúcida	Branco	Vítreo ou perolado	São incolores na maioria das vezes, porem podem ser brancas ou cinzas, ou até marrom, amarelo, vermelho ou azul pela presença de impurezas.	A selenita é comumente encontrada em cristais com formas prismáticas ou tabulares. Esses cristais podem ser longos e apresentar uma estrutura fibrosa ou colunar, frequentemente agrupando-se em aglomerados ou blocos. Também é possível encontrá-la em formas maciças granulares ou terrosas.	Indústria farmacêutica: utilizado em exipientes.	Solúvel em água. Pode exibir fluorescência sob luz ultravioleta, florescendo em várias cores, incluindo branco, amarelo ou azul, dependendo das impurezas presentes no cristal.	Prismática 	Alguns dos maiores cristais já encontrados são de selenita, o maior espécime encontrado na Caverna dos Cristais, da Mina Naica, com 12 metros de comprimento e pesando 55 toneladas.
Gipsita variação selenita dourada	Sulfatos	Sulfatos básicos e hidratados	CaSO₄·2H₂O	Gipsita; Seleninita; Sulfato de cálcio hidratado		Clivagem perfeita em uma direção	2 - 2.5	Fibrosa	2,2g/cm³      2,3g/cm³	É ligeiramente flexível, embora quebre se dobrado significativamente.	Transparente a translúcida	Branco	Vítreo ou perolado	São incolores na maioria das vezes, porem podem ser brancas ou cinzas, ou até marrom, amarelo, vermelho ou azul pela presença de impurezas.	A selenita é comumente encontrada em cristais com formas prismáticas ou tabulares. Esses cristais podem ser longos e apresentar uma estrutura fibrosa ou colunar, frequentemente agrupando-se em aglomerados ou blocos. Também é possível encontrá-la em formas maciças granulares ou terrosas.		Solúvel em água. Pode exibir fluorescência sob luz ultravioleta, florescendo em várias cores, incluindo branco, amarelo ou azul, dependendo das impurezas presentes no cristal.	Prismática 	Alguns dos maiores cristais já encontrados são de selenita, o maior espécime encontrado na Caverna dos Cristais, da Mina Naica, com 12 metros de comprimento e pesando 55 toneladas.
Gipso	Sulfatos	Sulfatos básicos e hidratados	CaSO₄·2H₂O	Gesso		Quatro direções de clivagem, uma direção perfeita e três menos perfeitas a imperfeitas.	1,5 - 2,0	conchoidal, estilhaçada	2,31g/cm³  2,32g/cm³	flexível, inelástico	Transparente, Translúcido	Branco, Incolor	nacarado, vítreo	Vermelho, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Castanho, Rosa 	Maciça, laminada (selenita), maciça granular (alabastro), fibroso (espato setinado). Geminações são comuns de ocorerrem.		Solúvel em ácido clorídrico (HCl), formando solução incolor.	Prismática	A presença de depósitos de gipsita em Marte detectada pela sonda Opportunity é tratada como uma evidência de que houve água corrente na superfície do planeta no passado.
Hematita	Óxidos	Grupo da Hematita	α-Fe₂O₃  Polimorfo da maghemita  	-		Sem clivagem.	5,0 - 6,0	irregular, subconchoidal	5,20g/cm³  5,26g/cm³	elástico, quebradiço	Opaco, Transparente	Marrom avermelhado, Vermelho cereja	metálico, fosco, submetálico	Cinza, Preto, Cinza aço	Normalmente granular. Pode ser fibro-radial e/ou em agregados fibrosos, massas reniformes, botroidais ou estalactíticas. Colunar, terroso, oolítico, concrecionário. Os cristais são romboédricos com ou sem pinacoide basal, prismáticos a placoides (pseudo-hexagonais), raramente escalenoédricos com estriações triangulares em {0001} e {10̅11}. Os cristais podem ser tabulares espessos e delgados, formando rosetas. As arestas das placas podem ser biseladas com formas romboédricas. Possui geminação de penetração {0001} ou com {10̅11} como plano de composição; também lamelar em {10̅11}.	 possui aplicações farmacêuticas em excipientes, fonte do pigmento vermelho-ocre, Extração de ferro (natural), polimentos, catalisadores.	Lentamente solúvel em ácido clorídrico (HCl) com formação de solução  amarelada ou esverdeada,  Levemente Magnético 	Escalenoédrica hexagonal 	A NASA, em 2004, realizou a descoberta de que a hematita é um dos minerais mais abundantes das rochas e da superfície de Marte. Esta abundância de hematita nas rochas de Marte e nos materiais superficiais conferem à paisagem uma coloração marrom avermelhada, justificando a razão do planeta aparentar cor vermelha no céu noturno.
Heulandita	Silicatos	Tectossilicato	(Ca,Na,K)₅(Si₂₇Al₉)O₇₂.26H₂O	-		Perfeita.	3,5 - 4	Irregular, conchoidal	2,1g/cm³  2,2g/cm³ 	Quebradiça.	Transparente, Translúcido	Branco	Nacarado, vítreo	Incolor, branca, mais raramente vermelha, verde, marrom ou amarela. 	Tabular em forma de caixão (trapezoidal). Granular, maciça. Idiomorfia comum.		Solúvel em ácido clorídrico (HCl).	Prismática 	Heulandita foi nomeada primeiramente de "euzeólita" (que significa bela zeólita)
Howlita	Boratos	Inoborato	Ca2B5SiO9(OH)5	-		Sem clivagem	6,5 (embora o material possa medir 3,5 em testes por essa ser a dureza de separação de seus grãos)	Conchoidal, irregular	2,53g/cm³ 2,59g/cm³	Quebradiço	Opaco, mas também pode ser transparente	Branco	Vítreo	Branco algumas vezes com veias pretas ou castanhas.	Maciço a nodular, ocorre como prismas tabulares achatados paralelamente a [100]		Solúvel em ácido clorídrico (HCl).	Monoclínica	
Quartzo variação Jaspe vermelha	Silicatos	Tectossilicato	SiO2 (A cor vermelha é atribuida a presença de hematita e hidróxidos de Ferro)	Jaspe		Sem clivagem	7	Conchoidal	2,65g/cm3	Quebradiço	Opaco	Branco	fosco, vítreo, graxo	Geralmente vermelhos ou marrons, podem apresentar outras cores (amarelo, etc.)	Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.        		Solúvel em HF	Trapezoédrica trigonal 	Na Antiguidade, jaspe era uma pedra decorativa de alto valor entre gregos, romanos e egípcios.
Lepidolita	Silicatos	Filossilicatos	K (Li,Al)₃ (Si,Al)₄ O₁₀·(F,OH)₂	-		Uma direção de clivagem perfeita basal {001}	2,5-4	Irregular	2,8-2,9 g/cm³	Flexível, elástico	Transparente a translúcido	Branco	Nacarado a vítreo	Rosa pink, rosa, violeta, púrpura, violeta acinzentado, amarelada, branca e às vezes incolor	Normalmente ocorre como agregados escamosos, botroidais ou maciços.  Os cristais são pseudo-hexagonais, tabulares a prismáticos, comumente com faces arredondadas.  Possui rara geminação, com plano de composição {001} e eixo de geminação [310].	Fonte de Li₂O (oxido de litio), um poderoso componente fundente que reduz a viscosidade do vidro e confere resistência. É usado no fabrico de vidros especiais de cozinha, fibras de vidros e esmaltes cerâmicos.	Parcialmente decomposta em HCl	Prismática	Principal fonte dos metais alcalinos rubídio e césio além de ser uma fonte secundária de lítio, elemento extremamente importante para a produção de eletrônicos.
Magnetita	Óxidos	Grupo do Espinélio	Fe₂+Fe₂O₄	Pedra-imã		Sem clivagem	6	irregular	5,18g/cm³	Quebradiço	Opaco	Preto	Metálico	Marrom, Preto, Preto acinzentado	Normalmente maciço ou granular (de granulação grossa ou fina). Forma agregados granulares, maciços ou formas lamelares. Os cristais são tipicamente octaédricos, às vezes dodecaédricos, estriados || [011] ou {0̅11}, e mais raramente cúbicos. Possui geminação de contato, com {111} como plano de composição, às vezes lamelar (segundo a Lei do Espinélio).	 possui aplicações farmacêuticas em excipientes.	Magnética	Hexaoctaédrica 	A magnetita é a rocha-ímã mais magnética de todos os minerais da Terra, e a existência desta propriedade foi utilizada para a fabricação de bússolas.
Minério de Cobre	Elementos Nativos	-	Cu	Cobre		Sem clivagem.	2,5 - 3,0	serrilhada	8,80g/cm³ -  8,95g/cm³	dúctil, maleável	Opaco	Vermelho, Vermelho cobre	metálico, fosco	Vermelho, Vermelho escuro, Vermelho cobre	Ocorre normalmente como cristais mal formados. Escamas, placas, fios torcidos e massas irregulares são bastante comuns. Os cristais são tetrahexaédricos, cúbicos, octaédricos e/ou dodecaédricos, em geral mal formados. Também ocorre como grupos ramificados e arborescentes, dendríticos. Pode ser fibroso ou maciço. Possui geminação em {111}, simples de contato, de penetração ou cíclica.	Carbonato básico de cobre: fonte de pigmento verde.	Solúvel em HNO3 concentrado, com formação de solução verde e desprendimento de NO2.	Hexaoctaédrica 	Assim como o alumínio, o cobre é reciclável sem perda de qualidade, tanto no estado bruto quanto nos produtos manufaturados
Moscovita	Silicatos	Filossilicato	KAl₂[Si₃AlO₁₀](OH,F)₂	Mica		Clivagem perfeita {001} (basal)	2,5 - 4,0	partição {110} e {010}	2,77g/cm³ - 2,88g/cm³	flexível, elástico	Transparente, Translúcido	Branco	nacarado, vítreo	Vermelho, Verde claro, Amarelo, Incolor, Cinza, Castanho, Rosa, Vermelho claro	Forma agregados estrelados, plumosos, globulares. Também granular e em escamas, maciço. Os cristais são tabulares a colunares ‖ [001], estriados ‖ {001}, pseudo-hexagonais (presença de faces de prisma {110} e de faces {010}) ou em forma de diamante. Às vezes apresentam contornos romboédricos devido à presença de faces prismáticas {110} formando ângulos de ~60º. Pode apresentar geminação com plano de composição (001) e eixo de geminação [310], formando estrelas com seis pontas.	fonte de pigmento.	-	Prismática 	. A moscovita é procurada para a fabricação de materiais à prova de fogo e isolantes
Quartzo variação Olho de Tigre	Silicatos		SiO2 (A cor dourada é atribuida a pesença de limonite incrustada)	-		Sem clivagem	7	fibrosa	2,64g/cm³		Opaco	Amarelo a castanho	Sedoso	Amarela dourada, parda dourada			Solúvel em HF	Trigonal	
Olivina em Mármore	Silicatos  	Nesossilicato	(Mg,Fe)₂SiO₄	-		Duas direções de clivagem imperfeitas {010} e {100} (difícil de observar, mesmo em lâmina delgada).	6,5 - 7,0	conchoidal, irregular	3,22g/cm³ - 4,39g/cm³	quebradiço	Transparente, Translúcido	Branco	resinoso, gorduroso, vítreo	Verde oliva, Preto, Castanho, Verde amarelado, Cinza esverdeado	Normalmente granular constituindo massas granulares. Maciço. Os cristais são tabulares finos ou espessos || {100}, tipicamente com terminações em forma de cunha, produzindo seções transversais com oito lados. Possui geminação em {100}, também em {031}.		-	Bipiramidal rômbica 	Uma busca mundial está em busca de processos baratos para sequestrar CO2 por reações minerais, chamados de intemperismo aprimorado. A remoção por reações com olivina é uma opção atraente, pois está amplamente disponível e reage facilmente com o CO2 da atmosfera.
Opala	Silicato	Tectossilicato	SiO₂.n(H₂O)	-		Sem clivagem	5,5 - 6,5	conchoidal	1,90g/cm³  2,30g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo	Vermelho, Azul, Marrom, Branco, Amarelo, Preto	Geralmente é maciça ou pseudomórfica sobre minerais variados. Botroidal, mamelonado, reniforme, maciço.		-	-	Por razões históricas, opala ainda é considerada um mineral, mas na realidade é composta por uma mistura de cristobalita e/ou tridimita ou por sílica amorfa. Colecionadores distinguem mais de 70 variedades de opala. Fluorescência em cores verdes, amarelas e brancas é relativamente comum em opalas, sob luz UV de ondas curtas e longas. 
Opala branca	Silicato	Tectossilicato	SiO₂.n(H₂O)	Opala		Sem clivagem	5,5 - 6,5	conchoidal	1,90g/cm³  2,30g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo	Vermelho, Azul, Marrom, Branco, Amarelo, Preto	Geralmente é maciça ou pseudomórfica sobre minerais variados. Botroidal, mamelonado, reniforme, maciço.		Fluorescência em cores verdes, amarelas e brancas é relativamente comum em opalas, sob luz UV de ondas curtas e longas. 	-	Por razões históricas, opala ainda é considerada um mineral, mas na realidade é composta por uma mistura de cristobalita e/ou tridimita ou por sílica amorfa. Colecionadores distinguem mais de 70 variedades de opala. 
Pirita	Sulfetos	Grupo da Pirita	FeS₂  Polimorfo com a marcassita  	Ouro dos tolos; ouro de tolo; dissulfeto de ferro 		Uma direção de clivagem indistinta {001} (muito difícil de ver).	6,0 - 6,5	conchoidal, irregular	5,01g/cm³  5,02g/cm³	friável, quebradiço	Opaco	Preto esverdeado, Preto amarronzado	Metálico	Preto, Amarelo claro, Amarelo latão	Maciço, granular. Também ocorre como agregados granulares e massas informes, menos comum como massas globulares e estalactíticas. Cristalizando-se em cubos estriados (nas faces de cubo a direção das estrias são perpendiculares entre si), dodecaedros pentagonais (piritoedro), mais raramente octaedros e formas combinadas.		Completamente solúvel em HNO3 concentrado, com efervescência, formando solução amarela com separação de S.  Paramagnético e Escala de Fusibilidade de 2,5	Diploédrica	A mina de minério de cobre Cakmakkaya perto de Murgul ( até 1987 Göktaş ) na Turquia produz cristais de pirita de tamanho menor, mas com uma variedade excepcionalmente rica de formatos.
Pirita em matriz de granito	Sulfetos	Grupo da Pirita	FeS₂	Ouro dos tolos; ouro de tolo; dissulfeto de ferro 		Uma direção de clivagem indistinta {001} (muito difícil de ver).	6,0 - 6,5	conchoidal, irregular	5,01g/cm³  5,02g/cm³	friável, quebradiço	Opaco	Preto esverdeado, Preto amarronzado	Metálico	Preto, Amarelo claro, Amarelo latão	Maciço, granular. Também ocorre como agregados granulares e massas informes, menos comum como massas globulares e estalactíticas. Cristalizando-se em cubos estriados (nas faces de cubo a direção das estrias são perpendiculares entre si), dodecaedros pentagonais (piritoedro), mais raramente octaedros e formas combinadas.		Completamente solúvel em HNO3 concentrado, com efervescência, formando solução amarela com separação de S.  Paramagnético.	Diploédrica	A mina de minério de cobre Cakmakkaya perto de Murgul ( até 1987 Göktaş ) na Turquia produz cristais de pirita de tamanho menor, mas com uma variedade excepcionalmente rica de formatos.
Pirolusita	Óxidos	Grupo do Rutilo	Mn₄+O₂	Manganês		Uma direção de clivagem perfeita	6,0 - 6,5	irregular	4,70g/cm³  5,19g/cm³	frágil	Opaco	Preto, Preto azulado	Metálico	Cinza escuro, Preto, Cinza aço	Normalmente maciço ou reniforme, botroidal ou como agregados estalactíticos. Também ocorre como películas, filmes e configurações dendríticas, muitas vezes em fibras ou colunas radiadas. Os cristais não são comuns, são prismáticos || [001] longos ou curtos, com seção transversal quadrada, aciculares estriados, com textura fibrosa. Às vezes ocorre como pseudomorfos sobre a manganita. Possui geminação de repetição em {031}, {032}, rara; pode ser polissintética.		Solúvel em ácido clorídrico (HCl) com efervescência (desprendimento de Cl2), formando solução esverdeada.	Bipiramidal ditetragonal 	Algumas das primeiras pinturas rupestres mais famosas da Europa foram executadas por meio de dióxido de manganês. Blocos de pirolusita são encontrados frequentemente em sítios de Neandertais .
Prehnita	Silicatos	Filossilicato	Ca2(Al,Fe)Al2Si3O10(OH)2	-		Duas direções de clivagem, uma direção boa {001} (basal) e uma fraca {110}.	6 – 6,5	Irregular	2,80g/cm3    2,95g/cm3	Quebradiço	Transparente	Branco	Vítreo, perláceo.	Incolor, Cinza, Amarelo, Verde-amarelado, Branco.	Cristais são raros, geralmente agregados em leque, reniformes, globulares, granular, estalagtítica, etc.		Solúvel em ácido clorídrico (HCl).	Ortorrômbica piramidal	A prehnita é um dos primeiros minerais a receber o nome de uma pessoa histórica, tendo sido nomeada como homeagem ao coronel holandês, Hendrik von/van Prehn.
Quartzo	Silicatos	Tectossilicato	SiO₂	Cristal		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.	Construção civil: produção de concreto;  Indústria cerâmica: produção de louças e tijolos refratários;  Vidreira: produção de vidros;  Indústria metalúrgica: produção de ferro silício, importante liga metálica; Eletrônica: fabricação de osciladores que contribuem para a precisão dos aparelhos eletrônicos; Óptica: fabricação de lentes e prismas;  Semicondutores: fabricação de microchips;  Joalheria e decoração: fabricação de adereços e enfeites.	Solúvel em HF	Trapezoédrica trigonal	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico
Quartzo var. laranja	Silicatos	Tectossilicato	SiO₂ 	Cristal, Quartzo tangerina		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal 	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico
Quartzo var. azul	Silicatos	Tectossilicato	SiO₂ 	Cristal, Quartzo celestial		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal 	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico
Quartzo fumê	Silicatos	Tectossilicato	SiO₂ 	Cristal fumê, Quartzo fumê		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal 	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico
Quartzo Leitoso	Silicatos	Tectossilicato	SiO₂ 	-		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm4	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico.
Quartzo Rosa	Silicatos	Tectossilicato	SiO₂ 	-		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm5	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico.
Quartzo variação ametista	Silicatos	Tectossilicato	SiO₂ 	-		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	conchoidal	2,65g/cm³	Quebradiço	Opaco, transparente	-	Fosco, Vítreo, Graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	Maciço ou em agregados com granulação variada. Os cristais são normalmente prismáticos, com as faces do prisma estriadas horizontalmente, com seção basal hexagonal.		Solúvel em HF	Trapezoédrica trigonal	A Ametista é uma rocha semipreciosa muito conhecida desde a antiguidade, principalmente para a realeza da época, na qual foi usada em coroações britânicas, como também nas joias dos bispos.  E em certo tempo chegou a ser considerada com o mesmo valor dos rubis, esmeraldas e safiras. Além de ser contado em lendas gregas antigas sobre os romanos também usarem a ametista.  A Ametista é tradicionalmente a rocha que é dada no sexto aniversário de casamento.  Sua cor violeta se deve a presença de compostos de mangânes ou ferro que podem ser facilmente oxidados pela luz solar e por isso perde a cor com exposição ao sol.
Quartzo variação calcedônia crisoprásio	Silicato	Grupo do Quartzo	SiO₂ 	 Crisoprásio, Crisópraso, Calcedônia crisopráso		Sem clivagem	6 - 7	Conchoidal, granular	2.65g/cm³ 2.91g/cm³	Frágil	Quase opaco a quase transparente	Branco	Graxo, resinoso	Verde oliva, verde maçã-verde	Agregados monocristalinos.		Solúvel em HF	Trigonal	O nome “chrysoprase” é derivado das palavras gregas “chrysos” que significam ouro e “prason” significa alho-poró, referindo-se à sua cor verde.
Rodocrosita	Carbonatos	Grupo da Calcita	MnCO₃	Rosa Inca		Romboédrica perfeita	3,5-4,0	Irregular a  conchoidal	3,4 g/cm³ 3,7 g/cm³	Quebradiço	Transparente a translúcido	Branco	Vítreo e nacarado (em agregados)	Amarelo, Cinza, Rosa, Rosa pink, Vermelho cereja, Marrom canela	Normalmente ocorre como agregados granulares, laminares e colunares ou formando massas ou crostas (esféricas ou botrioidais).  Maciço. Forma cristais romboédricos {10 1} ou escalenoédricos {21 1}, modificados por {0001}, {10 0} e {11 0}, com várias outras formas.  Os cristais podem ser arredondados ou em forma de sela. Geminação: rara, segundo {01 2}, de contato ou lamelar.		Solúvel em ácido clorídrico (HCl) quente com efervescência,  formando solução incolor	Escalenoédrica-Hexagonal	Seu nome deriva da palavra grega para cor-de-rosa. É também a rocha preciosa nacional da argentina.
Turmalina	Silicato	Ciclossilicatos	Na(Mg,Fe,Li,Mn,Al)₃ Al₆(BO₃)₃ Si₆·O₁₈ (OH,F)₄	Turmalina melancia		Sem clivagem ou muito fraca	7-7,5	Irregular a conchoidal	2,90g/cm³   3,41 g/cm³	Quebradiço	Translúcido a opaco	Branco	Vítreo ou resinoso	Variável (normalmente são de cor verde a verde escuro ou preto, também rosa, vermelho, incolor; sendo que a cor verde é dada principalmente por Cr, V e Fe2+ e a vermelha por Li e/ou Mn3+), inclusive em um mesmo cristal, raramente azul	Normalmente ocorre com hábito prismático com 3, 6 e 9 faces (geralmente com um prisma trigonal dominante e um prisma hexagonal de segunda ordem), com seção basal triangular a “arredondada”. Normalmente com estrias verticais (paralelas ao eixo “c”). Os prismas são terminados via de regra por um pédio e por pirâmides trigonais. Pode ocorrer como massas colunares compactas, maciças e como agregados (podem ser radiais, paralelos, etc.). Geminação: rara em (1011) e (4041).		-	Piramidal ditrigonal	Em 1989, foi encontrada em São José da Batalha, Paraíba, a variedade de turmalina mais cara do mundo, a turmalina Paraíba, por conta de sua cor verde azulada muito diferente das outras.
Ulexita	Boratos	Boratos	NaCaB₅O₆(OH)₆·5(H₂O)	Rocha TV		Três direções de clivagem, uma clivagem perfeita {010}, uma boa {1̅10} e uma fraca {110}	2,5	Irregular,  fibrosa	1,65 g/cm³	Quebradiço	Opaco, transparente	Branco	Acetinado,  vítreo	Branco, incolor ou cinza.	Normalmente ocorre como massas reniformes, com aspecto de “bola de algodão”, crostas e nódulos. Também granular e maciço. Ocorre em veios fibrosos compactos paralelos, radiados e grupos nodulares compactos. Raro como cristais que podem ter muitas formas. Tipicamente alongados a aciculares extremamente finos. Possui geminação polissintética em {010} e {100}, possivelmente também em duas outras direções oblíquas.		Ligeiramente solúvel em água. Solúvel em ácido clorídrico (HCl), HNO3, H2SO4.	Pinacoidal	A ulexita também é conhecida como rocha TV devido às suas características ópticas incomuns.  As fibras de ulexita atuam como fibras ópticas,  transmitindo luz ao longo de seus comprimentos por reflexão interna
